55,adobe.com,14.3550,9.6445,0.0000,14.9980,7.3324,0.0000,19.7400,9.4650,0.0000
56,vimeo.com,11.3333,2.5738,0.1000,15.3100,5.1118,0.0000,15.9700,8.0155,0.0000
57,goo.gl,10.2970,0.2364,0.0000,17.2100,9.5328,0.0000,17.4600,7.9194,0.0000
58,t-msedge.net,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
59,cloudfront.net,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
60,gandi.net,97.2600,5.4463,0.0000,99.0500,8.2157,0.0000,100.1500,13.3105,0.0000
61,sharepoint.com,14.1100,1.5751,0.0000,15.2500,2.6666,0.0000,16.1400,4.3035,0.0000
62,edgekey.net,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
63,zoom.us,14.3200,7.1118,0.0000,13.2200,1.2560,0.0000,17.3100,10.1564,0.0000
64,wordpress.com,12.1400,3.5831,0.0000,16.0700,5.2163,0.0000,16.3000,7.0468,0.0000
65,gvt2.com,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
66,bit.ly,16.3200,10.8534,0.0000,16.6000,5.8371,0.0000,10.4500,0.4544,0.0000
67,qq.com,229.8889,4.2281,0.1000,211.7000,1.6763,0.0000,219.3000,0.4583,0.0000
68,msn.com,12.8400,0.9656,0.0000,13.5900,1.9186,0.0000,13.6700,3.5530,0.0000
69,app-measurement.com,15.0700,4.9580,0.0000,12.7270,2.1960,0.0000,19.6380,14.9015,0.0000
70,mozilla.org,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
71,yandex.net,196.1000,6.7298,0.0000,194.9000,1.6401,0.0000,194.2000,0.4000,0.0000
72,googledomains.com,12.5150,4.9335,0.0000,11.0400,1.3291,0.0000,17.4400,20.9961,0.0000
73,office365.com,30.7600,0.5553,0.0000,33.7100,5.8305,0.0000,24.4200,5.0549,0.0000
74,yandex.ru,200.1000,0.3000,0.0000,194.4000,2.1541,0.0000,194.1000,2.9816,0.0000
75,blogspot.com,10.4840,0.6672,0.0000,12.7500,1.9536,0.0000,10.9400,1.8532,0.0000
76,whatsapp.net,9.7190,2.5788,0.0000,12.3660,3.7274,0.0000,12.3100,7.8239,0.0000
77,office.net,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
78,cloudflare.net,13.2100,5.5531,0.0000,15.0000,6.6927,0.0000,11.5200,1.9046,0.0000
79,tds.net,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
80,skype.com,31.1100,7.9483,0.0000,114.2000,2.3580,0.0000,205.0000,16.6913,0.0000
81,whatsapp.com,11.1320,6.5481,0.0000,9.6810,1.7089,0.0000,9.0890,1.7856,0.0000
82,gvt1.com,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
83,outlook.com,34.1100,3.3739,0.0000,55.5600,5.2842,0.0000,38.9800,3.9020,0.0000
84,ytimg.com,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
85,comcast.net,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
86,nic.ru,135.3333,4.3461,0.4000,135.6667,1.2472,0.7000,136.6250,6.9451,0.2000
87,trbcdn.net,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
88,s-msedge.net,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
89,ntp.org,11.8600,0.1744,0.0000,61.8900,1.0084,0.0000,34.1800,4.4557,0.0000
90,cloudflare-dns.com,11.3000,1.2058,0.0000,14.5000,4.7019,0.0000,13.6900,5.5901,0.0000
91,bytefcdn-oversea.com,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
92,reddit.com,10.7300,0.9296,0.0000,13.3000,7.4081,0.0000,10.3000,0.2324,0.0000
93,roblox.com,29.7200,1.6910,0.0000,33.3400,10.3086,0.0000,34.4200,9.3195,0.0000
94,cloudapp.net,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
95,ruidongcloud.com,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
96,wac-msedge.net,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
97,pki.goog,14.0410,9.1634,0.0000,11.4000,1.1340,0.0000,11.2000,2.3289,0.0000
98,opera.com,104.7600,11.2227,0.0000,103.4000,2.4980,0.0000,102.8000,1.1662,0.0000
99,macromedia.com,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100,tiktok.com,6.9190,1.8963,0.0000,10.9630,12.5914,0.0000,9.0340,3.4666,0.0000
101,snapchat.com,15.8610,7.4076,0.0000,12.4200,3.1546,0.0000,10.9750,2.5779,0.0000
102,europa.eu,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
103,adnxs.com,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
104,amazon-adsystem.com,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
105,criteo.com,11.5100,3.7652,0.0000,15.1900,8.3516,0.0000,15.8100,11.4021,0.0000
